# optimum 106960 - 111539
WEZLY = 520
1 148 510 5
2 158 508 0
3 160 495 0
4 163 508 0
5 126 503 0
6 181 511 0
7 63 480 0
8 180 498 0
9 157 493 0
10 190 501 0
11 104 486 0
12 163 523 0
13 101 499 0
14 132 514 0
15 171 591 0
16 188 512 0
17 180 517 1
18 62 463 0
19 61 493 0
20 189 499 0
21 178 463 0
22 158 489 9
23 204 503 0
24 185 533 0
25 111 480 1
26 81 572 0
27 161 589 0
28 202 514 0
29 23 467 0
30 57 446 5
31 30 488 0
32 56 498 0
33 186 440 0
34 189 464 0
35 171 471 21
36 177 449 0
37 248 509 0
38 175 536 0
39 195 540 0
40 58 563 0
41 162 580 0
42 198 524 0
43 23 462 0
44 53 429 0
45 11 485 0
46 32 492 12
47 51 501 0
48 58 507 0
49 176 442 0
50 178 358 0
51 193 428 0
52 175 332 0
53 207 463 0
54 170 450 0
55 241 520 0
56 267 513 0
57 171 551 13
58 61 551 5
59 38 554 0
60 157 569 0
61 182 584 0
62 24 464 0
63 39 430 0
64 20 498 6
65 46 500 0
66 156 243 0
67 172 299 0
68 193 347 48
69 183 327 3
70 164 231 0
71 286 503 0
72 201 481 61
73 145 453 0
74 166 443 0
75 253 522 0
76 232 537 17
77 266 524 0
78 281 520 0
79 64 540 25
80 46 548 0
81 33 538 0
82 192 589 0
83 161 294 0
84 152 242 0
85 156 234 0
86 117 264 0
87 170 279 0
88 175 301 0
89 190 321 0
90 166 250 0
91 170 223 0
92 153 184 0
93 293 505 0
94 149 468 0
95 126 456 0
96 157 437 20
97 251 534 4
98 278 526 0
99 297 528 0
100 275 512 0
101 289 516 21
102 27 526 0
103 196 593 0
104 163 314 0
105 155 297 8
106 115 179 0
107 136 189 0
108 101 285 0
109 127 276 0
110 174 278 0
111 171 262 0
112 176 212 0
113 201 254 0
114 174 163 0
115 175 194 0
116 300 507 0
117 305 489 0
118 84 461 0
119 123 472 21
120 160 427 0
121 309 534 0
122 243 498 0
123 19 521 3
124 165 337 0
125 157 317 0
126 59 182 0
127 161 155 0
128 112 190 0
129 87 307 0
130 108 298 13
131 138 268 0
132 178 257 6
133 188 224 0
134 175 207 0
135 205 270 8
136 196 255 0
137 235 288 0
138 205 128 0
139 179 194 0
140 314 514 0
141 317 441 0
142 86 429 0
143 319 520 0
144 308 539 0
145 317 531 0
146 313 537 0
147 252 495 37
148 155 339 0
149 168 361 0
150 157 322 0
151 57 132 0
152 54 191 0
153 172 124 0
154 60 342 0
155 94 309 42
156 146 278 0
157 217 253 0
158 192 217 0
159 230 300 11
160 249 303 0
161 212 139 0
162 261 52 0
163 227 192 0
164 391 470 0
165 316 383 0
166 105 420 0
167 302 557 0
168 351 530 0
169 345 552 0
170 170 380 0
171 156 364 5
172 91 131 -1
173 50 99 0
174 54 59 0
175 7 300 0
176 162 83 0
177 106 129 0
178 68 352 0
179 33 379 0
180 224 260 0
181 219 242 0
182 196 215 0
183 235 339 0
184 256 293 0
185 280 334 0
186 224 121 0
187 222 150 0
188 226 173 0
189 344 186 0
190 420 423 0
191 390 472 0
192 411 418 0
193 322 313 0
194 310 390 0
195 313 382 0
196 307 530 0
